orderID,productID,unitPrice,quantity,discount
"10,248 ",11,14,12,0
"10,248 ",42,9.8,10,0
"10,248 ",72,34.8,5,0
"10,249 ",14,18.6,9,0
"10,249 ",51,42.4,40,0
"10,250 ",41,7.7,10,0
"10,250 ",51,42.4,35,0.15
"10,250 ",65,16.8,15,0.15
"10,251 ",22,16.8,6,0.05
"10,251 ",57,15.6,15,0.05
"10,251 ",65,16.8,20,0
"10,252 ",20,64.8,40,0.05
"10,252 ",33,2,25,0.05
"10,252 ",60,27.2,40,0
"10,253 ",31,10,20,0
"10,253 ",39,14.4,42,0
"10,253 ",49,16,40,0
"10,254 ",24,3.6,15,0.15
"10,254 ",55,19.2,21,0.15
"10,254 ",74,8,21,0
"10,255 ",2,15.2,20,0
"10,255 ",16,13.9,35,0
"10,255 ",36,15.2,25,0
"10,255 ",59,44,30,0
"10,256 ",53,26.2,15,0
"10,256 ",77,10.4,12,0
"10,257 ",27,35.1,25,0
"10,257 ",39,14.4,6,0
"10,257 ",77,10.4,15,0
"10,258 ",2,15.2,50,0.2
"10,258 ",5,17,65,0.2
"10,258 ",32,25.6,6,0.2
"10,259 ",21,8,10,0
"10,259 ",37,20.8,1,0
"10,260 ",41,7.7,16,0.25
"10,260 ",57,15.6,50,0
"10,260 ",62,39.4,15,0.25
"10,260 ",70,12,21,0.25
"10,261 ",21,8,20,0
"10,261 ",35,14.4,20,0
"10,262 ",5,17,12,0.2
"10,262 ",7,24,15,0
"10,262 ",56,30.4,2,0
"10,263 ",16,13.9,60,0.25
"10,263 ",24,3.6,28,0
"10,263 ",30,20.7,60,0.25
"10,263 ",74,8,36,0.25
"10,264 ",2,15.2,35,0
"10,264 ",41,7.7,25,0.15
"10,265 ",17,31.2,30,0
"10,265 ",70,12,20,0
"10,266 ",12,30.4,12,0.05
"10,267 ",40,14.7,50,0
"10,267 ",59,44,70,0.15
"10,267 ",76,14.4,15,0.15
"10,268 ",29,99,10,0
"10,268 ",72,27.8,4,0
"10,269 ",33,2,60,0.05
"10,269 ",72,27.8,20,0.05
"10,270 ",36,15.2,30,0
"10,270 ",43,36.8,25,0
"10,271 ",33,2,24,0
"10,272 ",20,64.8,6,0
"10,272 ",31,10,40,0
"10,272 ",72,27.8,24,0
"10,273 ",10,24.8,24,0.05
"10,273 ",31,10,15,0.05
"10,273 ",33,2,20,0
"10,273 ",40,14.7,60,0.05
"10,273 ",76,14.4,33,0.05
"10,274 ",71,17.2,20,0
"10,274 ",72,27.8,7,0
"10,275 ",24,3.6,12,0.05
"10,275 ",59,44,6,0.05
"10,276 ",10,24.8,15,0
"10,276 ",13,4.8,10,0
"10,277 ",28,36.4,20,0
"10,277 ",62,39.4,12,0
"10,278 ",44,15.5,16,0
"10,278 ",59,44,15,0
"10,278 ",63,35.1,8,0
"10,278 ",73,12,25,0
"10,279 ",17,31.2,15,0.25
"10,280 ",24,3.6,12,0
"10,280 ",55,19.2,20,0
"10,280 ",75,6.2,30,0
"10,281 ",19,7.3,1,0
"10,281 ",24,3.6,6,0
"10,281 ",35,14.4,4,0
"10,282 ",30,20.7,6,0
"10,282 ",57,15.6,2,0
"10,283 ",15,12.4,20,0
"10,283 ",19,7.3,18,0
"10,283 ",60,27.2,35,0
"10,283 ",72,27.8,3,0
"10,284 ",27,35.1,15,0.25
"10,284 ",44,15.5,21,0
"10,284 ",60,27.2,20,0.25
"10,284 ",67,11.2,5,0.25
"10,285 ",1,14.4,45,0.2
"10,285 ",40,14.7,40,0.2
"10,285 ",53,26.2,36,0.2
"10,286 ",35,14.4,100,0
"10,286 ",62,39.4,40,0
"10,287 ",16,13.9,40,0.15
"10,287 ",34,11.2,20,0
"10,287 ",46,9.6,15,0.15
"10,288 ",54,5.9,10,0.1
"10,288 ",68,10,3,0.1
"10,289 ",3,8,30,0
"10,289 ",64,26.6,9,0
"10,290 ",5,17,20,0
"10,290 ",29,99,15,0
"10,290 ",49,16,15,0
"10,290 ",77,10.4,10,0
"10,291 ",13,4.8,20,0.1
"10,291 ",44,15.5,24,0.1
"10,291 ",51,42.4,2,0.1
"10,292 ",20,64.8,20,0
"10,293 ",18,50,12,0
"10,293 ",24,3.6,10,0
"10,293 ",63,35.1,5,0
"10,293 ",75,6.2,6,0
"10,294 ",1,14.4,18,0
"10,294 ",17,31.2,15,0
"10,294 ",43,36.8,15,0
"10,294 ",60,27.2,21,0
"10,294 ",75,6.2,6,0
"10,295 ",56,30.4,4,0
"10,296 ",11,16.8,12,0
"10,296 ",16,13.9,30,0
"10,296 ",69,28.8,15,0
"10,297 ",39,14.4,60,0
"10,297 ",72,27.8,20,0
"10,298 ",2,15.2,40,0
"10,298 ",36,15.2,40,0.25
"10,298 ",59,44,30,0.25
"10,298 ",62,39.4,15,0
"10,299 ",19,7.3,15,0
"10,299 ",70,12,20,0
"10,300 ",66,13.6,30,0
"10,300 ",68,10,20,0
"10,301 ",40,14.7,10,0
"10,301 ",56,30.4,20,0
"10,302 ",17,31.2,40,0
"10,302 ",28,36.4,28,0
"10,302 ",43,36.8,12,0
"10,303 ",40,14.7,40,0.1
"10,303 ",65,16.8,30,0.1
"10,303 ",68,10,15,0.1
"10,304 ",49,16,30,0
"10,304 ",59,44,10,0
"10,304 ",71,17.2,2,0
"10,305 ",18,50,25,0.1
"10,305 ",29,99,25,0.1
"10,305 ",39,14.4,30,0.1
"10,306 ",30,20.7,10,0
"10,306 ",53,26.2,10,0
"10,306 ",54,5.9,5,0
"10,307 ",62,39.4,10,0
"10,307 ",68,10,3,0
"10,308 ",69,28.8,1,0
"10,308 ",70,12,5,0
"10,309 ",4,17.6,20,0
"10,309 ",6,20,30,0
"10,309 ",42,11.2,2,0
"10,309 ",43,36.8,20,0
"10,309 ",71,17.2,3,0
"10,310 ",16,13.9,10,0
"10,310 ",62,39.4,5,0
"10,311 ",42,11.2,6,0
"10,311 ",69,28.8,7,0
"10,312 ",28,36.4,4,0
"10,312 ",43,36.8,24,0
"10,312 ",53,26.2,20,0
"10,312 ",75,6.2,10,0
"10,313 ",36,15.2,12,0
"10,314 ",32,25.6,40,0.1
"10,314 ",58,10.6,30,0.1
"10,314 ",62,39.4,25,0.1
"10,315 ",34,11.2,14,0
"10,315 ",70,12,30,0
"10,316 ",41,7.7,10,0
"10,316 ",62,39.4,70,0
"10,317 ",1,14.4,20,0
"10,318 ",41,7.7,20,0
"10,318 ",76,14.4,6,0
"10,319 ",17,31.2,8,0
"10,319 ",28,36.4,14,0
"10,319 ",76,14.4,30,0
"10,320 ",71,17.2,30,0
"10,321 ",35,14.4,10,0
"10,322 ",52,5.6,20,0
"10,323 ",15,12.4,5,0
"10,323 ",25,11.2,4,0
"10,323 ",39,14.4,4,0
"10,324 ",16,13.9,21,0.15
"10,324 ",35,14.4,70,0.15
"10,324 ",46,9.6,30,0
"10,324 ",59,44,40,0.15
"10,324 ",63,35.1,80,0.15
"10,325 ",6,20,6,0
"10,325 ",13,4.8,12,0
"10,325 ",14,18.6,9,0
"10,325 ",31,10,4,0
"10,325 ",72,27.8,40,0
"10,326 ",4,17.6,24,0
"10,326 ",57,15.6,16,0
"10,326 ",75,6.2,50,0
"10,327 ",2,15.2,25,0.2
"10,327 ",11,16.8,50,0.2
"10,327 ",30,20.7,35,0.2
"10,327 ",58,10.6,30,0.2
"10,328 ",59,44,9,0
"10,328 ",65,16.8,40,0
"10,328 ",68,10,10,0
"10,329 ",19,7.3,10,0.05
"10,329 ",30,20.7,8,0.05
"10,329 ",38,210.8,20,0.05
"10,329 ",56,30.4,12,0.05
